1. id=189 | Компрессор R17 Сервис Ключ | art=75572 | brand=- | sg=Автомобильный инструмент | SLUG=bp-kompressory (Компрессоры) | refs=tt-bp-kompressory-avto
32. id=24724 | Паяльник 100Вт, клин, STAYER | art=55300-100 | brand=- | sg=Осветительное и электротехническое оборудование | SLUG=payalniki (Паяльники) | refs=tt-payalniki-elektro
33. id=24733 | Паяльник 30-130Вт, пист рукояткой | art=55317-130 | brand=- | sg=Осветительное и электротехническое оборудование | SLUG=payalniki (Паяльники) | refs=tt-payalniki-elektro
34. id=24740 | Паяльник 40 Вт, дер.ручка, долговеч.жало ЗУБР МАСТ | art=55405-40_z01 | brand=- | sg=Осветительное и электротехническое оборудование | SLUG=payalniki (Паяльники) | refs=tt-payalniki-elektro
35. id=24855 | Припой оловянно-свинцовый 30% Sn/70% Pb 250 гр. СВ | art=SV-55325-250 | brand=- | sg=Осветительное и электротехническое оборудование | SLUG=raskhodniki-pajki (Расходники для пайки) | refs=tt-raskhodniki-pajki-pripoy
36. id=24867 | Припой ПОС 61, трубка с канифолью, 100г, 1мм | art=55450-100-10C | brand=- | sg=Осветительное и электротехническое оборудование | SLUG=raskhodniki-pajki (Расходники для пайки) | refs=tt-raskhodniki-pajki-pripoy
37. id=24874 | Припой ПОС-61, трубка с канифолью, 100 г.,0,8мм | art=55450-100-08С | brand=- | sg=Осветительное и электротехническое оборудование | SLUG=raskhodniki-pajki (Расходники для пайки) | refs=tt-raskhodniki-pajki-pripoy
38. id=27253 | Провода стартовые 3,0 м. 500 Ампер | art=73114 | brand=- | sg=Оснастка | SLUG=puskovye-provoda (Пусковые провода) | refs=tt-puskovye-provoda-startovye
39. id=28890 | Пневмонейлер RAPID ЗЬЗ171(гвоздезабиватель) для гвоздей тип 23P 15-35мм | art=5001345 | brand=- | sg=Пневмоинструмент | SLUG=bp-pnevmosteplery (Пневмостеплеры и нейлеры) | refs=tt-bp-pnevmosteplery-gvozde
40. id=28894 | Пневмонейлер ЗУБР для барабанных гвоздей 65-100мм | art=31915 | brand=- | sg=Пневмоинструмент | SLUG=bp-pnevmosteplery (Пневмостеплеры и нейлеры) | refs=tt-bp-pnevmosteplery-gvozde
41. id=29035 | Регулятор давления RPF-187R с маном.диам 40мм, вхо | art=GAV-22923 | brand=- | sg=Пневмоинструмент | SLUG=bp-podgotovka-vozduha (Подготовка сжатого воздуха) | refs=tt-bp-podgotovka-vozduha-vlagootdelitel
42. id=29557 | Громкоговоритель HS-10-A (INTER-M) рупорный 10Вт | art=216632 | brand=- | sg=Пожарка | SLUG=siz-izveshchateli (Извещатели и оповещатели) | refs=tt-siz-izveshchateli-gromkogovoritel MON:tt-siz-izveshchateli-gromkogovoritel AMD
43. id=29733 | Полотно противопожарное ПП-1000 (1,5*2,0) (до 1000 | art=ОГН-ПП1000 | brand=- | sg=Пожарка | SLUG=siz-pozh-inventar (Пожарный инвентарь) | refs=tt-siz-pozh-inventar-polotno MON:tt-siz-pozh-inventar-polotno AMD
44. id=30216 | Кейс HIKOKI HSC II пустой 157,5х400х300мм | art=402545 | brand=- | sg=Прочее | SLUG=yashchiki-sumki (Ящики, сумки, органайзеры) | refs=tt-yashchiki-sumki-keys-prochee
45. id=30229 | Кейс пластиковый Hitachi (пила) | art=321188 | brand=- | sg=Прочее | SLUG=yashchiki-sumki (Ящики, сумки, органайзеры) | refs=tt-yashchiki-sumki-keys-prochee
46. id=31104 | Регулятор расхода газа А-90-5 азотный 90л/мин 1,0М | art=ПТК-А905 | brand=- | sg=Сварочное оборудование | SLUG=svar-reduktory (Газовые редукторы) | refs=tt-svar-reduktory-regulyator
47. id=31973 | Верстак Bosch PTA 1000 для PCM7; высота 700-1150мм | art=BSH-0603B05100 | brand=- | sg=Слесарно-столярный инструмент | SLUG=obor-mebel (Верстаки и мебель мастерской) | refs=tt-obor-mebel-verstak MON:tt-obor-mebel-verstak
48. id=31974 | Верстак Bosch PTA 2400 для PCM8S; высота 800мм, дл | art=BSH-0603B05000 | brand=- | sg=Слесарно-столярный инструмент | SLUG=obor-mebel (Верстаки и мебель мастерской) | refs=tt-obor-mebel-verstak MON:tt-obor-mebel-verstak
49. id=34648 | Стержни клеевые 12х300 мм., прозрачные универс. ЗУ | art=06856-12-1 | brand=- | sg=Слесарно-столярный инструмент | SLUG=sterzhni-kleevye (Клеевые стержни) | refs=tt-sterzhni-kleevye-kleevye
50. id=34649 | Стержни клеевые 12х300 мм., цвет желтый, сверхсиль | art=06856-12-2 | brand=- | sg=Слесарно-столярный инструмент | SLUG=sterzhni-kleevye (Клеевые стержни) | refs=tt-sterzhni-kleevye-kleevye
51. id=34656 | Стержни клеевые 8х200мм прозрачные, универсальные, | art=06855-08-1 | brand=- | sg=Слесарно-столярный инструмент | SLUG=sterzhni-kleevye (Клеевые стержни) | refs=tt-sterzhni-kleevye-kleevye
52. id=34658 | Стержни клеевые д.8 мм за 12 шт. | art=FIT-14408 | brand=- | sg=Слесарно-столярный инструмент | SLUG=sterzhni-kleevye (Клеевые стержни) | refs=tt-sterzhni-kleevye-kleevye
53. id=35061 | Тонконосы 160 мм Серия Люкс Профи прорезиненная ру | art=FIT-50736 | brand=- | sg=Слесарно-столярный инструмент | SLUG=passatizhi (Пассатижи и плоскогубцы) | refs=tt-passatizhi-tonkonosy
54. id=35062 | Тонконосы 165мм Серия ЭЛЕКТРО | art=FIT-50786 | brand=- | sg=Слесарно-столярный инструмент | SLUG=passatizhi (Пассатижи и плоскогубцы) | refs=tt-passatizhi-tonkonosy
55. id=36140 | Кобура для шуруповерта с отделениями для бит и сверл ЗУБР | art=38630 | brand=- | sg=Средства индивидуальной защиты | SLUG=kobury-dlya-instrumenta (Кобуры для инструмента) | refs=tt-kobury-dlya-instrumenta-kobura
56. id=36301 | Маска щиток защитный лицевой ЕВРО закрытый НБТ-2 | art=РСВ-64445 | brand=- | sg=Средства индивидуальной защиты | SLUG=siz-ochki (Очки и щитки защитные) | refs=tt-siz-ochki-shitok+tt-siz-ochki-zashchitnye MON:tt-siz-ochki-shitok
57. id=36307 | Маска щиток защитный лицевой НБТ поликарбонат ЭКОН | art=РСВ-339084 | brand=- | sg=Средства индивидуальной защиты | SLUG=siz-ochki (Очки и щитки защитные) | refs=tt-siz-ochki-shitok+tt-siz-ochki-zashchitnye MON:tt-siz-ochki-shitok
58. id=36310 | Маска щиток защитный лицевой СИБИН с экраном из поликарбоната | art=11089 | brand=- | sg=Средства индивидуальной защиты | SLUG=siz-ochki (Очки и щитки защитные) | refs=tt-siz-ochki-shitok+tt-siz-ochki-zashchitnye MON:tt-siz-ochki-shitok
59. id=37015 | Гвоздодер 400 мм, D-17 мм | art=41-0-240 | brand=- | sg=Строительно-отделочный инструмент | SLUG=lomy-gvozdodery (Ломы, гвоздодёры, монтировки) | refs=tt-lomy-gvozdodery-lom
60. id=37017 | Гвоздодер 800 мм,D-17 мм, армированный | art=41-5-080 | brand=- | sg=Строительно-отделочный инструмент | SLUG=lomy-gvozdodery (Ломы, гвоздодёры, монтировки) | refs=tt-lomy-gvozdodery-lom
61. id=37019 | Гвоздодер металлический  45 см TRUPER | art=10853 | brand=- | sg=Строительно-отделочный инструмент | SLUG=lomy-gvozdodery (Ломы, гвоздодёры, монтировки) | refs=tt-lomy-gvozdodery-lom
62. id=37020 | Гвоздодер металлический  60 см TRUPER | art=10856 | brand=- | sg=Строительно-отделочный инструмент | SLUG=lomy-gvozdodery (Ломы, гвоздодёры, монтировки) | refs=tt-lomy-gvozdodery-lom
63. id=37271 | Лента малярная креповая 30ммх50м ЗУБР ЭКСПЕРТ | art=12115-30 | brand=- | sg=Строительно-отделочный инструмент | SLUG=hoz-lenty (Ленты клейкие и сигнальные) | refs=tt-hoz-lenty-malyarnaya
64. id=37272 | Лента малярная креповая 38ммх50м ЗУБР ЭКСПЕРТ | art=12115-38 | brand=- | sg=Строительно-отделочный инструмент | SLUG=hoz-lenty (Ленты клейкие и сигнальные) | refs=tt-hoz-lenty-malyarnaya
65. id=37273 | Лента малярная креповая 48ммх50м ЗУБР ЭКСПЕРТ | art=12115-50 | brand=- | sg=Строительно-отделочный инструмент | SLUG=hoz-lenty (Ленты клейкие и сигнальные) | refs=tt-hoz-lenty-malyarnaya
66. id=39790 | Изолента 15ммх10м БЕЛАЯ СИБРТЕХ | art=88792 | brand=- | sg=Хозтовары, сад, огород | SLUG=hoz-izolenta (Изолента) | refs=tt-hoz-izolenta-izolenta
67. id=39791 | Изолента 15ммх10м ЖЕЛТАЯ СИБРТЕХ | art=88790 | brand=- | sg=Хозтовары, сад, огород | SLUG=hoz-izolenta (Изолента) | refs=tt-hoz-izolenta-izolenta
68. id=39826 | Изолента ПВХ 15мм зелен (10м) не поддерж горение, | art=1233-4_z01 | brand=- | sg=Хозтовары, сад, огород | SLUG=hoz-izolenta (Изолента) | refs=tt-hoz-izolenta-izolenta
69. id=39828 | Изолента ПВХ 15мм синий (10м) ВИХРЬ | art=73/3/3/2 | brand=- | sg=Хозтовары, сад, огород | SLUG=hoz-izolenta (Изолента) | refs=tt-hoz-izolenta-izolenta
70. id=39833 | Изолента ПВХ 15ммх20м белая | art=098205 | brand=- | sg=Хозтовары, сад, огород | SLUG=hoz-izolenta (Изолента) | refs=tt-hoz-izolenta-izolenta
71. id=39837 | Изолента ПВХ 19мм желтая (20м) | art=064379 | brand=- | sg=Хозтовары, сад, огород | SLUG=hoz-izolenta (Изолента) | refs=tt-hoz-izolenta-izolenta
72. id=39841 | Изолента ПВХ 19мм синий (20м) ВИХРЬ | art=73/3/3/4 | brand=- | sg=Хозтовары, сад, огород | SLUG=hoz-izolenta (Изолента) | refs=tt-hoz-izolenta-izolenta
73. id=39848 | Изолента ПВХ 19мм х 20м синяя ЗУБР Электрик-20 не поддерживающая горение, 6000 В | art=1234-7 | brand=- | sg=Хозтовары, сад, огород | SLUG=hoz-izolenta (Изолента) | refs=tt-hoz-izolenta-izolenta
74. id=39874 | Изолента х/б прорезиненная черная 200г (90)  БИБЕР | art=92012 | brand=- | sg=Хозтовары, сад, огород | SLUG=hoz-izolenta (Изолента) | refs=tt-hoz-izolenta-izolenta
75. id=39883 | Изолента хб черная, 70г. | art=49-5-100 | brand=- | sg=Хозтовары, сад, огород | SLUG=hoz-izolenta (Изолента) | refs=tt-hoz-izolenta-izolenta
76. id=40678 | Лом строительный 1500мм 25 мм СИБИН | art=2182-15 | brand=- | sg=Хозтовары, сад, огород | SLUG=lomy-gvozdodery (Ломы, гвоздодёры, монтировки) | refs=tt-lomy-gvozdodery-lom
77. id=40683 | Лом строительный диам. 25мм длина 1250-1300мм | art=ЛС-25-1300 | brand=- | sg=Хозтовары, сад, огород | SLUG=lomy-gvozdodery (Ломы, гвоздодёры, монтировки) | refs=tt-lomy-gvozdodery-lom
78. id=40684 | Лом строительный диам. 25мм длина 1350мм | art=РСВ-36131 | brand=- | sg=Хозтовары, сад, огород | SLUG=lomy-gvozdodery (Ломы, гвоздодёры, монтировки) | refs=tt-lomy-gvozdodery-lom
79. id=40685 | Лом строительный диам. 28мм длина 1250-1300мм | art=ЛС-28-1300 | brand=- | sg=Хозтовары, сад, огород | SLUG=lomy-gvozdodery (Ломы, гвоздодёры, монтировки) | refs=tt-lomy-gvozdodery-lom
80. id=40686 | Лом строительный диам. 30мм длина 1250мм Сибртех | art=253245 | brand=- | sg=Хозтовары, сад, огород | SLUG=lomy-gvozdodery (Ломы, гвоздодёры, монтировки) | refs=tt-lomy-gvozdodery-lom
81. id=43696 | Аппарат для сварки полипр.труб Candan СМ-01 SET WV | art=РСВ-238539 | brand=- | sg=Электроинструмент | SLUG=svar-apparaty (Сварочные аппараты, инверторы, плазморезы) | refs=tt-svar-apparaty-truby MON:tt-svar-apparaty-truby
82. id=43699 | Аппарат для сварки полипр.труб CANDAN СМ-06 SET (20,25,32,40мм) (WV) 750+750 Watt | art=238537 | brand=- | sg=Электроинструмент | SLUG=svar-apparaty (Сварочные аппараты, инверторы, плазморезы) | refs=tt-svar-apparaty-truby MON:tt-svar-apparaty-truby
83. id=43768 | Газонокосилка LM5131 CHAMPION 3кВт травосбоник 60л | art=РСВ-251847 | brand=- | sg=Электроинструмент | SLUG=bp-gazonokosilki (Газонокосилки) | refs=tt-bp-gazonokosilki-gazonokosilka
84. id=43774 | Газонокосилка электрическая Einhell GE-EM 1233, 1250Вт, 33см, 30л | art=3400192 | brand=- | sg=Электроинструмент | SLUG=bp-gazonokosilki (Газонокосилки) | refs=tt-bp-gazonokosilki-gazonokosilka
85. id=43775 | Газонокосилка электрическая ELM-1800Р Huter пластик кожух | art=70/4/7 | brand=- | sg=Электроинструмент | SLUG=bp-gazonokosilki (Газонокосилки) | refs=tt-bp-gazonokosilki-gazonokosilka
86. id=43780 | Газонокосилка электрическая Hitachi EL340; 1200 Вт | art=HTC-EL340 | brand=- | sg=Электроинструмент | SLUG=bp-gazonokosilki (Газонокосилки) | refs=tt-bp-gazonokosilki-gazonokosilka
87. id=43786 | Газонокосилка электрическая ЗУБР 1700Вт 38см | art=СГЦ-38-1700 | brand=- | sg=Электроинструмент | SLUG=bp-gazonokosilki (Газонокосилки) | refs=tt-bp-gazonokosilki-gazonokosilka
88. id=43787 | Газонокосилка электрическая ЗУБР 2000Вт 42см | art=ГСЦ-42-2000 | brand=- | sg=Электроинструмент | SLUG=bp-gazonokosilki (Газонокосилки) | refs=tt-bp-gazonokosilki-gazonokosilka
89. id=43789 | Газонокосилка электрическая ЗУБР роторная, 42 см, | art=ЗГКЭ-42-1800 | brand=- | sg=Электроинструмент | SLUG=bp-gazonokosilki (Газонокосилки) | refs=tt-bp-gazonokosilki-gazonokosilka
90. id=44222 | Насос вибрационный ВН-15Н Вихрь, 15 м кабель, ниж. | art=68/8/6 | brand=- | sg=Электроинструмент | SLUG=obor-nasosy (Насосы) | refs=tt-obor-nasosy-nasos
91. id=44223 | Насос вибрационный ВН-25В Вихрь, 25 м кабель, верх | art=68/8/3 | brand=- | sg=Электроинструмент | SLUG=obor-nasosy (Насосы) | refs=tt-obor-nasosy-nasos
92. id=44272 | Насос дренажный для грязной воды 400 Вт Зубр | art=НПГ-М1-400 | brand=- | sg=Электроинструмент | SLUG=obor-nasosy (Насосы) | refs=tt-obor-nasosy-nasos
93. id=44277 | Насос дренажный ДН-1100Н ВИХРЬ | art=68/2/5 | brand=- | sg=Электроинструмент | SLUG=obor-nasosy (Насосы) | refs=tt-obor-nasosy-nasos
94. id=44281 | Насос дренажный ДН-750 ВИХРЬ | art=68/2/2 | brand=- | sg=Электроинструмент | SLUG=obor-nasosy (Насосы) | refs=tt-obor-nasosy-nasos
95. id=44285 | Насос дренажный с минимальным уровнем откачки 550Вт ЗУБР АкваСенсор | art=НПЧ-Т7-550 | brand=- | sg=Электроинструмент | SLUG=obor-nasosy (Насосы) | refs=tt-obor-nasosy-nasos
96. id=44307 | Насос поверхностный Джамбо 60/35Н | art=РСВ-119885 | brand=- | sg=Электроинструмент | SLUG=obor-nasosy (Насосы) | refs=tt-obor-nasosy-nasos
97. id=44312 | Насос поверхностный ПН-1100Н вихрь | art=68/4/3 | brand=- | sg=Электроинструмент | SLUG=obor-nasosy (Насосы) | refs=tt-obor-nasosy-nasos
98. id=44319 | Насос погружной Мини ГНОМ (ГНОМ 7-7) Подача 7 куб. | art=ГНМ-7700 | brand=- | sg=Электроинструмент | SLUG=obor-nasosy (Насосы) | refs=tt-obor-nasosy-nasos
99. id=44332 | Насос скважинный СН-60/25 | art=68/3/14 | brand=- | sg=Электроинструмент | SLUG=obor-nasosy (Насосы) | refs=tt-obor-nasosy-nasos
100. id=44337 | Насос фекальный ФН-1050ЛЧ ВИХРЬ чугун | art=68/5/21 | brand=- | sg=Электроинструмент | SLUG=obor-nasosy (Насосы) | refs=tt-obor-nasosy-nasos
101. id=44338 | Насос фекальный ФН-1100Л ВИХРЬ | art=68/5/4 | brand=- | sg=Электроинструмент | SLUG=obor-nasosy (Насосы) | refs=tt-obor-nasosy-nasos
102. id=44339 | Насос фекальный ФН-1300ЛЧ ВИХРЬ чугун | art=68/5/22 | brand=- | sg=Электроинструмент | SLUG=obor-nasosy (Насосы) | refs=tt-obor-nasosy-nasos
103. id=44340 | Насос фекальный ФН-1500Л | art=68/5/5 | brand=- | sg=Электроинструмент | SLUG=obor-nasosy (Насосы) | refs=tt-obor-nasosy-nasos
